aliasNames,shortName
cc-by-3.0,spdx/CC-BY-3.0
cc-by-4.0,spdx/CC-BY-4.0
cc-by-nc-1.0,spdx/CC-BY-NC-1.0
cc-by-nc-2.0,spdx/CC-BY-NC-2.0
cc-by-nc-2.5,spdx/CC-BY-NC-2.5
cc-by-nc-3.0,spdx/CC-BY-NC-3.0
cc-by-nc-4.0,spdx/CC-BY-NC-4.0
cc-by-nc-nd-1.0,spdx/CC-BY-NC-ND-1.0
cc-by-nc-nd-2.0,spdx/CC-BY-NC-ND-2.0
cc-by-nc-nd-2.5,spdx/CC-BY-NC-ND-2.5
cc-by-nc-nd-3.0,spdx/CC-BY-NC-ND-3.0
cc-by-nc-nd-3.0-us,Approved/CC-BY-NC-ND-3.0-US
cc-by-nc-nd-4.0,spdx/CC-BY-NC-ND-4.0
cc-by-nc-sa-1.0,spdx/CC-BY-NC-SA-1.0
cc-by-nc-sa-2.0,spdx/CC-BY-NC-SA-2.0
cc-by-nc-sa-2.5,spdx/CC-BY-NC-SA-2.5
cc-by-nc-sa-3.0,spdx/CC-BY-NC-SA-3.0
cc-by-nc-sa-4.0,spdx/CC-BY-NC-SA-4.0
cc-by-nd-1.0,spdx/CC-BY-ND-1.0
cc-by-nd-2.0,spdx/CC-BY-ND-2.0
cc-by-nd-2.5,spdx/CC-BY-ND-2.5
cc-by-nd-3.0,spdx/CC-BY-ND-3.0
cc-by-nd-4.0,spdx/CC-BY-ND-4.0
cc-by-sa-1.0,spdx/CC-BY-SA-1.0
cc-by-sa-2.0,spdx/CC-BY-SA-2.0
cc-by-sa-2.5,spdx/CC-BY-SA-2.5
cc-by-sa-3.0,spdx/CC-BY-SA-3.0
cc-by-sa-3.0-us,Approved/CC-BY-SA-3.0-US
cc-by-sa-4.0,spdx/CC-BY-SA-4.0
cc0,spdx/CC0-1.0
"cc0 1.0,cddl 1.1,gpl 2.0,public domain",Approved/CDDL + GPL-2.0-with-classpath-exception
"cc0 1.0,lgpl 2.1,public domain",spdx/LGPL-2.1
"cc0,public",FSF/PublicDomain
cc0-1.0,spdx/CC0-1.0
cddl,spdx/CDDL-1.0
cddl + gpl-2.0-with-classpath-exception,Approved/CDDL + GPL-2.0-with-classpath-exception
cddl + gplv2 with classpath exception,Approved/CDDL + GPL-2.0-with-classpath-exception
cddl 1.0 and gpl v2 with classpath exception,Approved/CDDL + GPL-2.0-with-classpath-exception
cddl 1.1,spdx/CDDL-1.1
cddl or gpl version 2 plus the classpath exception,Approved/CDDL + GPL-2.0-with-classpath-exception
cddl or gplv2 with exceptions,Approved/CDDL + GPL-2.0-with-classpath-exception
"cddl) (collectively, the license",spdx/CDDL-1.0
cddl+gpl,Approved/CDDL + GPL-2.0-with-classpath-exception
cddl+gpl license,Approved/CDDL + GPL-2.0-with-classpath-exception
cddl+gplv2,Approved/CDDL + GPL-2.0-with-classpath-exception
"cddl,gpl",Approved/CDDL + GPL-2.0-with-classpath-exception
cddl-1.0,spdx/CDDL-1.0
cddl-1.1,spdx/CDDL-1.1
cddl/gplv2+ce,Approved/CDDL + GPL-2.0-with-classpath-exception
cdla-permissive-1.0,spdx/CDLA-Permissive-1.0
cdla-sharing-1.0,spdx/CDLA-Sharing-1.0
cecill,spdx/CECILL-2.0
cecill free software license agreement v1.0,spdx/CECILL-1.0
cecill free software license agreement v1.1,spdx/CECILL-1.1
cecill free software license agreement v2.0,spdx/CECILL-2.0
cecill free software license agreement v2.1,spdx/CECILL-2.1
cecill license 2.1,spdx/CECILL-2.1
cecill version 2,spdx/CECILL-2.0
cecill-1.0,spdx/CECILL-1.0
cecill-1.1,spdx/CECILL-1.1
cecill-2.0,spdx/CECILL-2.0
cecill-2.1,spdx/CECILL-2.1
cecill-b,spdx/CECILL-B
cecill-b free software license agreement,spdx/CECILL-B
cecill-b version 1,spdx/CECILL-B
cecill-c,spdx/CECILL-C
cecill-c free software license agreement,spdx/CECILL-C
cecill-c license,spdx/CECILL-C
cecill-c version 1,spdx/CECILL-C
chromedriver license,spdx/Apache-2.0
clarified artistic,spdx/ClArtistic
clarified artistic license,spdx/ClArtistic
clarified artistic license 1.0,spdx/Artistic-1.0-cl8
clartistic,spdx/ClArtistic
classes/java/util/arraylist.java,Approved/TECHNOLOGY LICENSE FROM SUN Microssytems Inc TO DOUG LEA
